Expense_ID,Date,Department,Category,Sub_Category,Vendor_Name,Planned_Budget,Actual_Spend,Approval_Status
EXP-10000,2025-10-16,Data & Analytics,Cloud & Hosting,Databricks Cluster,Fivetran,31217.81,28846.92,Approved within Budget
EXP-10001,2024-04-24,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Amazon Web Services,71550.0,76326.71,Approved with Variance
EXP-10002,2024-01-26,Software Engineering,Cloud & Hosting,Jira & Confluence,Docker,56239.58,67441.29,Over-budget Flag
EXP-10003,2026-01-29,Software Engineering,Cloud & Hosting,Docker Hub,Atlassian,46906.09,53608.5,Approved with Variance
EXP-10004,2024-10-08,Cloud & Infrastructure,Cloud & Hosting,AWS Cloud Compute,Amazon Web Services,15921.3,18669.71,Over-budget Flag
EXP-10005,2024-09-07,Software Engineering,Cloud & Hosting,Jira & Confluence,Docker,15919.62,17726.71,Approved with Variance
EXP-10006,2024-08-16,Data & Analytics,Cloud & Hosting,Fivetran ETL,Fivetran,9065.85,10216.4,Approved with Variance
EXP-10007,2024-05-22,Software Engineering,Cloud & Hosting,JetBrains IDEs,GitHub,65632.33,78081.36,Over-budget Flag
EXP-10008,2026-01-24,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,Palo Alto Networks,47078.05,44717.9,Approved within Budget
EXP-10009,2024-04-14,Software Engineering,Cloud & Hosting,Docker Hub,Docker,54565.08,57062.52,Approved with Variance
EXP-10010,2025-11-23,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,Mandiant,6440.91,6044.69,Approved within Budget
EXP-10011,2026-01-28,IT Support & Operations,Cloud & Hosting,Zoom Licenses,Slack,72893.69,90757.54,Over-budget Flag
EXP-10012,2025-07-12,Data & Analytics,Cloud & Hosting,Databricks Cluster,Snowflake Inc,63270.98,77672.96,Over-budget Flag
EXP-10013,2024-03-30,IT Support & Operations,Cloud & Hosting,ServiceNow Ticketing,Dell,19863.74,17197.44,Approved within Budget
EXP-10014,2025-08-27,IT Support & Operations,Cloud & Hosting,Zoom Licenses,Dell,17727.75,20071.89,Approved with Variance
EXP-10015,2025-03-08,Software Engineering,Cloud & Hosting,GitHub Enterprise,JetBrains,17838.32,21764.52,Over-budget Flag
EXP-10016,2024-02-02,Software Engineering,Cloud & Hosting,JetBrains IDEs,GitHub,26296.96,24251.85,Approved within Budget
EXP-10017,2024-01-31,Software Engineering,Cloud & Hosting,Jira & Confluence,GitHub,41732.95,44953.82,Approved with Variance
EXP-10018,2024-04-05,IT Support & Operations,Cloud & Hosting,Developer Laptops,Zoom,35236.15,42854.04,Over-budget Flag
EXP-10019,2024-08-11,Data & Analytics,Cloud & Hosting,Databricks Cluster,Microsoft,25386.04,21922.84,Approved within Budget
EXP-10020,2024-08-26,Data & Analytics,Cloud & Hosting,Snowflake Warehouse,Databricks,47829.7,53998.21,Approved with Variance
EXP-10021,2025-06-01,Cybersecurity,Cloud & Hosting,Okta Identity SSO,Okta,14764.57,14305.98,Approved within Budget
EXP-10022,2025-09-08,Cloud & Infrastructure,Cloud & Hosting,Azure Blob Storage,Amazon Web Services,25450.13,31043.01,Over-budget Flag
EXP-10023,2024-01-28,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Fivetran,30645.33,37951.89,Over-budget Flag
EXP-10024,2025-07-28,Software Engineering,Cloud & Hosting,GitHub Enterprise,GitHub,36924.9,45332.94,Over-budget Flag
EXP-10025,2024-07-22,Cybersecurity,Cloud & Hosting,Okta Identity SSO,Okta,59962.32,62341.97,Approved with Variance
EXP-10026,2026-01-03,Software Engineering,Cloud & Hosting,Docker Hub,Docker,18977.16,22674.23,Over-budget Flag
EXP-10027,2025-10-27,IT Support & Operations,Cloud & Hosting,ServiceNow Ticketing,Zoom,40996.41,48696.35,Over-budget Flag
EXP-10028,2025-12-19,IT Support & Operations,Cloud & Hosting,Zoom Licenses,ServiceNow,46469.02,45429.98,Approved within Budget
EXP-10029,2025-07-12,Software Engineering,Cloud & Hosting,Docker Hub,Docker,8251.53,9749.73,Over-budget Flag
EXP-10030,2025-03-05,Data & Analytics,Cloud & Hosting,Snowflake Warehouse,Fivetran,47528.14,41102.48,Approved within Budget
EXP-10031,2024-08-13,Cloud & Infrastructure,Cloud & Hosting,AWS Cloud Compute,Google Cloud,16936.69,18435.72,Approved with Variance
EXP-10032,2025-04-04,Software Engineering,Cloud & Hosting,GitHub Enterprise,GitHub,9553.61,8999.53,Approved within Budget
EXP-10033,2025-08-26,Data & Analytics,Cloud & Hosting,Databricks Cluster,Databricks,71421.99,64153.14,Approved within Budget
EXP-10034,2024-10-11,Cybersecurity,Cloud & Hosting,Palo Alto Firewalls,Okta,72594.24,63939.65,Approved within Budget
EXP-10035,2026-04-08,Software Engineering,Cloud & Hosting,Jira & Confluence,Docker,61587.81,69502.8,Approved with Variance
EXP-10036,2026-06-09,Cybersecurity,Cloud & Hosting,Penetration Testing Audit,Palo Alto Networks,26322.96,25953.12,Approved within Budget
EXP-10037,2024-01-07,Data & Analytics,Cloud & Hosting,Snowflake Warehouse,Databricks,11837.05,13493.13,Approved with Variance
EXP-10038,2026-02-16,Data & Analytics,Cloud & Hosting,Databricks Cluster,Snowflake Inc,52896.31,46344.71,Approved within Budget
EXP-10039,2026-04-05,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Microsoft,35810.67,34955.37,Approved within Budget
EXP-10040,2024-06-12,Data & Analytics,Cloud & Hosting,Databricks Cluster,Databricks,13542.68,14433.74,Approved with Variance
EXP-10041,2025-12-15,IT Support & Operations,Cloud & Hosting,Developer Laptops,Apple,39662.38,46257.81,Over-budget Flag
EXP-10042,2025-03-08,Data & Analytics,Cloud & Hosting,Snowflake Warehouse,Microsoft,7407.2,7240.55,Approved within Budget
EXP-10043,2024-12-14,IT Support & Operations,Cloud & Hosting,ServiceNow Ticketing,ServiceNow,68652.43,75542.15,Approved with Variance
EXP-10044,2024-10-11,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Amazon Web Services,23114.6,27839.02,Over-budget Flag
EXP-10045,2024-06-08,IT Support & Operations,Cloud & Hosting,Zoom Licenses,Dell,51376.56,56326.45,Approved with Variance
EXP-10046,2024-08-08,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,Okta,26819.78,25295.98,Approved within Budget
EXP-10047,2026-02-20,Cloud & Infrastructure,Cloud & Hosting,AWS Cloud Compute,Google Cloud,41404.76,35598.17,Approved within Budget
EXP-10048,2024-12-10,Cybersecurity,Cloud & Hosting,Penetration Testing Audit,Palo Alto Networks,43269.72,51838.84,Over-budget Flag
EXP-10049,2024-04-14,Software Engineering,Cloud & Hosting,GitHub Enterprise,Docker,17939.81,15401.47,Approved within Budget
